date,gig economy,gig_economy_index
2025-03-09,6,6.0
2025-03-16,6,6.0
2025-03-23,6,6.0
2025-03-30,7,7.0
2025-04-06,6,6.0
2025-04-13,5,5.0
2025-04-20,6,6.0
2025-04-27,6,6.0
2025-05-04,6,6.0
2025-05-11,6,6.0
2025-05-18,5,5.0
2025-05-25,5,5.0
2025-06-01,6,6.0
2025-06-08,7,7.0
2025-06-15,6,6.0
2025-06-22,6,6.0
2025-06-29,5,5.0
2025-07-06,6,6.0
2025-07-13,6,6.0
2025-07-20,7,7.0
2025-07-27,7,7.0
2025-08-03,12,12.0
2025-08-10,15,15.0
2025-08-17,14,14.0
2025-08-24,11,11.0
2025-08-31,12,12.0
2025-09-07,13,13.0
2025-09-14,14,14.0
2025-09-21,17,17.0
2025-09-28,17,17.0
2025-10-05,16,16.0
2025-10-12,16,16.0
2025-10-19,15,15.0
2025-10-26,15,15.0
2025-11-02,16,16.0
2025-11-09,16,16.0
2025-11-16,18,18.0
2025-11-23,19,19.0
2025-11-30,25,25.0
2025-12-07,22,22.0
2025-12-14,20,20.0
2025-12-21,14,14.0
2025-12-28,16,16.0
2026-01-04,19,19.0
2026-01-11,21,21.0
2026-01-18,20,20.0
2026-01-25,25,25.0
2026-02-01,40,40.0
2026-02-08,78,78.0
2026-02-15,100,100.0
2026-02-22,52,52.0
2026-03-01,10,10.0
2026-03-08,10,10.0
